index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
720,XL,Mix,Tops,0.2,395,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
721,XS,Mix,Tops,0.2,425,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
722,S,Mix,Tops,0.2,425,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
723,M,Mix,Tops,0.2,425,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
724,L,Mix,Tops,0.2,425,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
725,XL,Mix,Tops,0.2,425,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
726,XS,Mix,Tops,0.2,450,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
727,S,Mix,Tops,0.2,450,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
728,M,Mix,Tops,0.2,450,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
729,L,Mix,Tops,0.2,450,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
730,XL,Mix,Tops,0.2,450,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
731,XS,Mix,Tops,0.2,415,1795,1795,1795,1795,1795,1895,1795,1795,1795,1795
732,S,Mix,Tops,0.2,415,1795,1795,1795,1795,1795,1895,1795,1795,1795,1795
733,M,Mix,Tops,0.2,415,1795,1795,1795,1795,1795,1895,1795,1795,1795,1795
734,L,Mix,Tops,0.2,415,1795,1795,1795,1795,1795,1895,1795,1795,1795,1795
735,XL,Mix,Tops,0.2,415,1795,1795,1795,1795,1795,1895,1795,1795,1795,1795
736,S,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
737,M,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
738,L,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
739,XL,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
740,2XL,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
741,3XL,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
742,S,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
743,M,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
744,L,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
745,XL,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
746,2XL,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
747,3XL,Surmaya,Kurta Set,0.4,950,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
748,S,Surmaya,Kurta Set,0.4,895,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
749,M,Surmaya,Kurta Set,0.4,895,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
750,L,Surmaya,Kurta Set,0.4,895,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
751,XL,Surmaya,Kurta Set,0.4,895,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
752,2XL,Surmaya,Kurta Set,0.4,895,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
753,3XL,Surmaya,Kurta Set,0.4,895,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
754,S,Surmaya,Kurta Set,0.4,875,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
755,M,Surmaya,Kurta Set,0.4,875,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
756,L,Surmaya,Kurta Set,0.4,875,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
757,XL,Surmaya,Kurta Set,0.4,875,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
758,2XL,Surmaya,Kurta Set,0.4,875,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
759,3XL,Surmaya,Kurta Set,0.4,875,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
760,S,Surmaya,Kurta Set,0.4,1050,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395
761,M,Surmaya,Kurta Set,0.4,1050,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395
762,L,Surmaya,Kurta Set,0.4,1050,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395
763,XL,Surmaya,Kurta Set,0.4,1050,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395
764,2XL,Surmaya,Kurta Set,0.4,1050,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395
765,3XL,Surmaya,Kurta Set,0.4,1050,2395,2395,2395,2395,2395,2395,2395,2395,2395,2395
766,S,Surmaya,Kurta Set,0.4,510,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
767,M,Surmaya,Kurta Set,0.4,510,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
768,L,Surmaya,Kurta Set,0.4,510,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
769,XL,Surmaya,Kurta Set,0.4,510,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
770,2XL,Surmaya,Kurta Set,0.4,510,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
771,3XL,Surmaya,Kurta Set,0.4,510,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
772,S,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
773,M,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
774,L,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
775,XL,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
776,2XL,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
777,3XL,Surmaya,Kurta Set,0.4,825,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
778,S,Surmaya,Kurta Set,0.4,845,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
779,M,Surmaya,Kurta Set,0.4,845,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
780,L,Surmaya,Kurta Set,0.4,845,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
781,XL,Surmaya,Kurta Set,0.4,845,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
782,2XL,Surmaya,Kurta Set,0.4,845,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
783,3XL,Surmaya,Kurta Set,0.4,845,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
784,S,Surmaya,Kurta Set,0.4,695,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
785,M,Surmaya,Kurta Set,0.4,695,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
786,L,Surmaya,Kurta Set,0.4,695,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
787,XL,Surmaya,Kurta Set,0.4,695,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
