index,Stock,Category,Size,Color
4957,3.0,KURTA,XXXL,TEAL GREEN 
4958,267.0,KURTA,L,Black
4959,217.0,KURTA,M,Black
4960,304.0,KURTA,S,Black
4961,140.0,KURTA,XL,Black
4962,260.0,KURTA,XS,Black
4963,98.0,KURTA,XXL,Black
4964,207.0,KURTA,XXXL,Black
4965,14.0,KURTA,L,Light Green
4966,45.0,KURTA,M,Light Green
4967,15.0,KURTA,S,Light Green
4968,7.0,KURTA,XL,Light Green
4969,8.0,KURTA,XS,Light Green
4970,19.0,KURTA,XXL,Light Green
4971,2.0,KURTA,XXXL,Light Green
4972,779.0,KURTA,L,Teal
4973,485.0,KURTA,M,Teal
4974,259.0,KURTA,S,Teal
4975,593.0,KURTA,XL,Teal
4976,192.0,KURTA,XS,Teal
4977,504.0,KURTA,XXL,Teal
4978,609.0,KURTA,XXXL,Teal
4979,57.0,KURTA,L,TEAL GREEN 
4980,76.0,KURTA,M,TEAL GREEN 
4981,81.0,KURTA,S,TEAL GREEN 
4982,54.0,KURTA,XL,TEAL GREEN 
4983,17.0,KURTA,XS,TEAL GREEN 
4984,39.0,KURTA,XXL,TEAL GREEN 
4985,27.0,KURTA,XXXL,TEAL GREEN 
4986,91.0,KURTA,L,Navy Blue
4987,57.0,KURTA,M,Navy Blue
4988,68.0,KURTA,S,Navy Blue
4989,22.0,KURTA,XL,Navy Blue
4990,8.0,KURTA,XS,Navy Blue
4991,13.0,KURTA,XXL,Navy Blue
4992,0.0,KURTA,XXXL,Navy Blue
4993,5.0,KURTA,L,Maroon
4994,7.0,KURTA,M,Maroon
4995,16.0,KURTA,S,Maroon
4996,4.0,KURTA,XL,Maroon
4997,5.0,KURTA,XS,Maroon
4998,3.0,KURTA,XXL,Maroon
4999,6.0,KURTA,XXXL,Maroon
5000,44.0,KURTA,L,Black
5001,47.0,KURTA,M,Black
5002,120.0,KURTA,S,Black
5003,45.0,KURTA,XL,Black
5004,13.0,KURTA,XS,Black
5005,91.0,KURTA,XXL,Black
5006,3.0,KURTA,XXXL,Black
5007,1.0,KURTA,L,Teal
5008,9.0,KURTA,M,Teal
5009,7.0,KURTA,S,Teal
5010,5.0,KURTA,XL,Teal
5011,8.0,KURTA,XS,Teal
5012,2.0,KURTA,XXL,Teal
5013,13.0,KURTA,XXXL,Teal
5014,10.0,KURTA,L,Black
5015,9.0,KURTA,M,Black
5016,24.0,KURTA,S,Black
5017,10.0,KURTA,XL,Black
5018,3.0,KURTA,XS,Black
5019,4.0,KURTA,XXL,Black
5020,1.0,KURTA,XXXL,Black
5021,14.0,KURTA,L,Magenta
5022,23.0,KURTA,M,Magenta
5023,21.0,KURTA,S,Magenta
5024,20.0,KURTA,XL,Magenta
5025,1.0,KURTA,XS,Magenta
5026,2.0,KURTA,XXL,Magenta
5027,2.0,KURTA,XXXL,Magenta
5028,9.0,KURTA,L,OFF WHITE
5029,4.0,KURTA,M,OFF WHITE
5030,8.0,KURTA,S,OFF WHITE
5031,5.0,KURTA,XL,OFF WHITE
5032,18.0,KURTA,XS,OFF WHITE
5033,5.0,KURTA,XXL,OFF WHITE
5034,17.0,KURTA,XXXL,OFF WHITE
5035,5.0,KURTA,L,Black
5036,2.0,KURTA,M,Black
5037,38.0,KURTA,S,Black
5038,1.0,KURTA,XL,Black
5039,25.0,KURTA,XS,Black
5040,6.0,KURTA,XXL,Black
5041,2.0,KURTA,XXXL,Black
5042,0.0,KURTA,L,Green
5043,2.0,KURTA,M,Green
5044,2.0,KURTA,S,Green
5045,0.0,KURTA,XL,Green
5046,6.0,KURTA,XS,Green
5047,0.0,KURTA,XXL,Green
5048,8.0,KURTA,XXXL,Green
5049,0.0,KURTA,L,Taupe
5050,0.0,KURTA,M,Taupe
5051,3.0,KURTA,S,Taupe
5052,1.0,KURTA,XL,Taupe
5054,1.0,KURTA,XXL,Taupe
5055,5.0,DRESS,L,Peach
5056,9.0,DRESS,M,Peach
5057,32.0,DRESS,S,Peach
5058,8.0,DRESS,XL,Peach
5059,38.0,DRESS,XS,Peach
5060,21.0,DRESS,XXL,Peach
5061,31.0,DRESS,XXXL,Peach
5062,1.0,KURTA,L,Black
5063,2.0,KURTA,M,Black
5064,4.0,KURTA,S,Black
5065,1.0,KURTA,XL,Black
5066,2.0,KURTA,XXL,Black
5067,2.0,KURTA,L,Turquoise Blue
5068,4.0,KURTA,M,Turquoise Blue
5069,3.0,KURTA,S,Turquoise Blue
5070,4.0,KURTA,XL,Turquoise Blue
5071,7.0,KURTA,XS,Turquoise Blue
5072,3.0,KURTA,XXL,Turquoise Blue
5073,2.0,KURTA,XXXL,Turquoise Blue
5074,3.0,KURTA,L,Brown
5075,2.0,KURTA,M,Brown
5076,37.0,KURTA,S,Brown
5077,2.0,KURTA,XL,Brown
5078,56.0,KURTA,XS,Brown
5079,6.0,KURTA,XXL,Brown
5080,34.0,KURTA,XXXL,Brown
5081,3.0,KURTA,L,Green
5082,1.0,KURTA,M,Green
5083,10.0,KURTA,S,Green
5084,2.0,KURTA,XL,Green
5085,21.0,KURTA,XS,Green
5086,1.0,KURTA,XXL,Green
5087,7.0,KURTA,XXXL,Green
5088,11.0,KURTA,L,Blue
5089,9.0,KURTA,M,Blue
5090,16.0,KURTA,S,Blue
5091,8.0,KURTA,XL,Blue
5092,17.0,KURTA,XS,Blue
5093,4.0,KURTA,XXL,Blue
5094,4.0,KURTA,XXXL,Blue
5095,1.0,DRESS,L,Blue
5096,2.0,DRESS,M,Blue
5097,5.0,DRESS,S,Blue
5098,2.0,DRESS,XL,Blue
